,zipcode,Population,No_Married(%),Widowed(%),Divorced(%),Separated(%),Never_Married(%),No_Married,Widowed,Divorced,Separated,Never_Married,Number_Households,Precent_Distribution_Housesholds,Median_Income_Households
432,98902,35115,42.3,6.2,11.7,3.3,36.4,1485364.5,217713.0,410845.5,115879.5,1278186.0,16584,16584,41432
433,98903,11052,52.0,5.1,12.7,3.1,27.1,574704.0,56365.2,140360.4,34261.2,299509.2,5191,5191,47215
434,98908,29939,53.3,6.6,12.3,1.1,26.6,1595748.7,197597.4,368249.7,32932.9,796377.4,14472,14472,58801
435,98921,303,65.3,0.0,34.7,0.0,0.0,19785.9,0.0,10514.1,0.0,0.0,150,150,28594
436,98922,5684,53.7,4.1,16.3,1.4,24.5,305230.8,23304.4,92649.2,7957.6,139258.0,2866,2866,53806
437,98923,933,61.5,1.6,14.7,0.0,22.2,57379.5,1492.8,13715.1,0.0,20712.6,362,362,52803
438,98925,517,56.5,4.6,22.2,2.5,14.1,29210.5,2378.2,11477.4,1292.5,7289.7,284,284,63421
439,98926,27605,40.2,4.0,9.1,0.7,46.0,1109721.0,110420.0,251205.5,19323.5,1269830.0,12817,12817,51473
440,98929,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
441,98930,11779,48.2,4.0,8.5,2.7,36.5,567747.8,47116.0,100121.5,31803.3,429933.5,4938,4938,46188
442,98932,3693,47.7,1.9,10.4,1.8,38.2,176156.1,7016.7,38407.2,6647.4,141072.6,1344,1344,47302
443,98933,884,48.8,4.2,7.6,1.4,38.1,43139.2,3712.8,6718.4,1237.6,33680.4,357,357,51442
444,98934,808,49.6,6.8,13.1,3.8,26.6,40076.8,5494.4,10584.8,3070.4,21492.8,426,426,44167
445,98935,2511,47.5,4.9,6.5,3.3,37.9,119272.5,12303.9,16321.5,8286.3,95166.9,962,962,40096
446,98936,4387,60.5,3.8,7.4,0.9,27.4,265413.5,16670.6,32463.8,3948.3,120203.8,1842,1842,56769
447,98937,3120,67.7,5.4,9.9,1.0,16.0,211224.0,16848.0,30888.0,3120.0,49920.0,1520,1520,55870
448,98938,2523,45.4,3.1,6.2,6.3,39.0,114544.2,7821.3,15642.6,15894.9,98397.0,810,810,76053
449,98939,77,41.6,23.4,11.7,0.0,23.4,3203.2,1801.8,900.9,0.0,1801.8,44,44,0
450,98940,382,51.6,0.0,7.1,0.0,41.4,19711.2,0.0,2712.2,0.0,15814.8,169,169,61484
451,98941,557,43.1,9.7,17.6,2.2,27.5,24006.7,5402.9,9803.2,1225.4,15317.5,288,288,54853
452,98942,13501,59.1,5.6,11.0,1.6,22.6,797909.1,75605.6,148511.0,21601.6,305122.6,6420,6420,60100
453,98943,778,40.0,4.6,20.4,0.0,35.0,31120.0,3578.8,15871.2,0.0,27230.0,395,395,59911
454,98944,15497,49.4,5.0,7.4,1.4,36.7,765551.8,77485.0,114677.8,21695.8,568739.9,6041,6041,43434
455,98946,449,61.7,1.6,16.5,2.0,18.3,27703.3,718.4,7408.5,898.0,8216.7,229,229,74063
456,98947,2415,57.5,4.4,7.1,1.4,29.6,138862.5,10626.0,17146.5,3381.0,71484.0,862,862,49697
457,98948,9062,45.1,4.1,8.6,3.3,39.0,408696.2,37154.2,77933.2,29904.6,353418.0,3532,3532,43106
458,98950,245,49.0,0.0,3.7,2.4,44.9,12005.0,0.0,906.5,588.0,11000.5,73,73,88036
459,98951,9654,44.6,5.4,7.7,3.3,39.1,430568.4,52131.6,74335.8,31858.2,377471.4,3677,3677,44729
460,98952,1688,32.8,4.7,10.4,4.0,48.2,55366.4,7933.6,17555.2,6752.0,81361.6,560,560,45139
461,98953,5421,52.0,5.3,10.1,2.5,30.0,281892.0,28731.3,54752.1,13552.5,162630.0,2171,2171,65614
462,99001,5834,30.0,2.9,20.1,4.8,42.2,175020.0,16918.6,117263.4,28003.2,246194.8,1410,1410,44674
